名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額(百万円),自己資本比率,ROE,ROA,発行済株式数
メドレックス,マザーズ,医薬品,医薬品 ,22,-1342,-1301,-1259,3079,2431,5101,394,6011,79,-48.75,-41.58,8514700
UMNファーマ,マザーズ,医薬品,医薬品 ,71,-3564,-3857,-14099,1510,-10926,10117,11210,3537,30,-282.08,-211.73,12196500
ヘリオス,マザーズ,医薬品,医薬品 ,77,-3507,-3426,-3433,9174,5964,5394,2500,64796,65,-44.78,-34.92,46315800
オンコリスバイオファーマ,マザーズ,医薬品,医薬品 ,178,-861,-864,-931,3140,2597,5090,363,7074,82.7,-30.57,-26.06,10916800
ウインテスト,東証2部,電気機器,電機・精密 ,213,-213,-222,-226,734,638,1310,49,2100,86.9,-32.78,-27.51,13040900
ナノキャリア,マザーズ,医薬品,医薬品 ,218,-2712,-2619,-2676,12939,9834,11085,2475,29030,76,-24.64,-18.89,43199384
RISE,東証JQS,不動産業,不動産 ,246,-162,-161,-162,3010,2535,2000,302,3552,84.2,-5.47,-4.65,96013277
カイオム・バイオサイエンス,マザーズ,医薬品,医薬品 ,252,-1042,-1047,-1491,4789,4528,5186,54,9856,94.6,-32.9,-30.72,26781500
燦キャピタルマネージメント,東証JQS,サービス業,情報通信・サービスその他 ,289,-249,-322,-1008,1508,663,1940,101,3736,44,-226.26,-76.28,42941244
石垣食品,東証JQS,食料品,食品 ,405,-51,-53,-54,191,40,300,98,746,20.9,-81.2,-25.12,3390000
北日本紡績,東証2部,繊維製品,素材・化学 ,413,2,4,5,1265,474,714,481,1717,37.5,1.05,0.4,12911000
JALCOホールディングス,東証JQS,電気機器,電機・精密 ,418,115,85,154,6753,3093,1884,3174,5678,45.8,5.24,2.46,51156132
ジェイ・エスコム ホールディングス,東証JQS,情報・通信業,情報通信・サービスその他 ,460,-59,-59,-142,398,211,1060,3,1330,53,-57.37,-33.02,10472990
fonfun,東証JQS,情報・通信業,情報通信・サービスその他 ,592,-36,-26,-30,656,347,2287,209,1261,52.9,-8.28,-4.29,2866720
ジオネクスト,東証JQG,情報・通信業,情報通信・サービスその他 ,593,67,-34,-570,1810,1317,1572,331,5595,72.8,-64.52,-37.8,111890380
クレアホールディングス,東証2部,建設業,建設・資材 ,604,-398,-402,-405,2932,2487,9104,214,2560,84.8,-16.51,-14.73,91412356
アークン,マザーズ,情報・通信業,情報通信・サービスその他 ,609,-110,-112,-357,936,371,267,40,2397,39.6,-64.91,-32.06,4439200
スリー・ディー・マトリックス,東証JQG,精密機器,電機・精密 ,615,-1240,-1270,-1392,3423,2288,5955,450,15012,66.8,-47.14,-35.32,22207200
アイフリークモバイル,東証JQS,情報・通信業,情報通信・サービスその他 ,707,12,4,1,722,327,780,300,4051,45.3,0.5,0.16,13594300
ジェクシード,東証JQS,情報・通信業,情報通信・サービスその他 ,712,-57,-60,-68,383,213,1037,80,2257,55.6,-27.47,-15.76,18500732
免疫生物研究所,東証JQG,医薬品,医薬品 ,741,-1156,-1170,-2094,3425,1337,2271,1994,5973,39,-101.7,-61.76,7419590
GFA,東証JQS,その他金融業,金融（除く銀行） ,765,-23,-27,-49,869,694,452,149,7076,79.9,-6.82,-5.54,8334800
イメージ情報開発,東証JQG,情報・通信業,情報通信・サービスその他 ,804,-49,-42,-255,662,386,467,40,1424,58.3,-49.66,-31,1780000
カルナバイオサイエンス,東証JQG,医薬品,医薬品 ,811,-423,-440,-289,2566,1735,3042,697,11541,67.6,-16.06,-11.79,9367300
ALBERT,マザーズ,情報・通信業,情報通信・サービスその他 ,812,-107,-121,-279,3152,821,787,2168,3010,26,-33.25,-13.53,2377900
