選手名,Team,OPS,ISOP,BABIP,BB/K,PA/K,ABHR,TA,PS,RC27
菊池　涼介,広,0.635,0.08899999999999997,0.29094827586206895,0.31521739130434784,6.108695652173913,70.25,0.6091954022988506,11.25925925925926,3.7323936431255267
丸　佳浩,広,0.774,0.16399999999999998,0.30376344086021506,0.6573426573426573,3.7062937062937062,27.894736842105264,0.9046454767726161,16.764705882352942,6.5042892700058
田中　広輔,広,0.738,0.139,0.3271461716937355,0.3238095238095238,5.171428571428572,67.875,0.7677261613691931,6.857142857142857,5.581105534000416
新井　貴浩,広,0.733,0.10999999999999999,0.3142857142857143,0.6575342465753424,5.835616438356165,60.857142857142854,0.7654320987654321,4.2,5.433772865853655
梵　英心,広,0.6829999999999999,0.123,0.26521739130434785,0.7346938775510204,5.775510204081633,47.166666666666664,0.71875,3.0,4.641320400245046
エルドレッド,広,0.773,0.23900000000000005,0.25949367088607594,0.34065934065934067,2.901098901098901,13.894736842105264,0.8564593301435407,1.9,5.796922535211262
會澤　翼,広,0.6990000000000001,0.12299999999999997,0.28,0.5306122448979592,5.142857142857143,42.0,0.705,0.0,4.592677544154752
シアーホルツ,広,0.733,0.185,0.3096774193548387,0.208955223880597,3.462686567164179,23.2,0.7954545454545454,4.615384615384615,5.704419721407614
鈴木　誠也,広,0.732,0.12799999999999995,0.31176470588235294,0.42105263157894735,5.552631578947368,42.2,0.7116564417177914,5.454545454545454,4.907844928669138
石原　慶幸,広,0.583,0.05500000000000002,0.29069767441860467,0.3333333333333333,5.142857142857143,108.0,0.5,1.3333333333333333,2.6814298642533885
松山　竜平,広,0.7949999999999999,0.16900000000000004,0.2916666666666667,0.7666666666666667,6.733333333333333,28.857142857142858,0.864516129032258,1.75,6.180756342932951
野間　峻祥,広,0.657,0.12999999999999998,0.3007518796992481,0.2702702702702703,4.594594594594595,170.0,0.706766917293233,1.7777777777777777,4.443275379939209
坂本　勇人,巨,0.754,0.13200000000000006,0.29770992366412213,0.8227848101265823,6.063291139240507,39.916666666666664,0.8328690807799443,10.909090909090908,6.056546311510854
長野　久義,巨,0.725,0.16399999999999998,0.27647058823529413,0.41975308641975306,5.3580246913580245,28.933333333333334,0.7581120943952803,5.0,5.086596135976921
亀井　善行,巨,0.712,0.10199999999999998,0.30340557275541796,0.6779661016949152,6.47457627118644,63.666666666666664,0.7649122807017544,6.857142857142857,5.495680839002268
阿部　慎之助,巨,0.784,0.172,0.27419354838709675,0.7619047619047619,4.083333333333333,22.866666666666667,0.9033457249070632,0.0,6.387212148233621
片岡　治大,巨,0.673,0.13,0.24834437086092714,0.6944444444444444,9.666666666666666,34.8,0.6917562724014337,13.548387096774194,4.04722057698992
村田　修一,巨,0.683,0.13699999999999998,0.25882352941176473,0.4307692307692308,5.076923076923077,27.5,0.6792452830188679,1.8461538461538463,4.2612517833818995
立岡　宗一郎,巨,0.691,0.043999999999999984,0.3665480427046263,0.29508196721311475,5.557377049180328,506.0,0.6639344262295082,0.0,5.054479062670296
井端　弘和,巨,0.61,0.044999999999999984,0.26495726495726496,1.0277777777777777,7.472222222222222,269.0,0.5868544600938967,1.5,3.680321495327091
アンダーソン,巨,0.7290000000000001,0.15000000000000002,0.2736842105263158,0.5675675675675675,6.324324324324325,33.42857142857143,0.7790055248618785,1.75,5.485350828729286
小林　誠司,巨,0.606,0.06799999999999998,0.27941176470588236,0.48717948717948717,4.538461538461538,88.5,0.5874125874125874,2.0,3.3962925278219345
高橋　由伸,巨,0.815,0.15099999999999997,0.35555555555555557,0.5128205128205128,3.41025641025641,26.6,0.9393939393939394,2.857142857142857,7.086975189873415
橋本　到,巨,0.6060000000000001,0.11700000000000005,0.28431372549019607,0.2571428571428571,3.914285714285714,137.0,0.6605504587155964,1.6,4.010641505010841
鳥谷　敬,阪,0.7470000000000001,0.08600000000000002,0.31634819532908703,1.155844155844156,7.1558441558441555,91.83333333333333,0.7951219512195122,7.2,6.039513969189448
ゴメス,阪,0.7869999999999999,0.15199999999999997,0.3333333333333333,0.5373134328358209,3.8805970149253732,30.58823529411765,0.8658227848101265,0.0,6.350339342302189
マートン,阪,0.6910000000000001,0.09899999999999998,0.3045356371490281,0.4025974025974026,7.064935064935065,60.44444444444444,0.65625,0.0,4.479138325395308
福留　孝介,阪,0.824,0.18199999999999994,0.29238329238329236,0.8666666666666667,6.6,24.75,0.9142091152815014,1.9047619047619047,6.767923335593593
上本　博紀,阪,0.6769999999999999,0.08599999999999997,0.30132450331125826,0.6376811594202898,5.434782608695652,93.75,0.7054794520547946,6.608695652173913,4.595563890497062
今成　亮太,阪,0.665,0.03699999999999998,0.39267015706806285,0.3076923076923077,3.448717948717949,269.0,0.6153846153846154,1.0,4.555097136222913
大和,阪,0.517,0.01999999999999999,0.2616822429906542,0.34285714285714286,7.114285714285714,506.0,0.39603960396039606,0.0,1.9982443982786735
西岡　剛,阪,0.69,0.08099999999999996,0.2866666666666667,1.0476190476190477,8.19047619047619,86.0,0.6666666666666666,1.3333333333333333,4.587493397358941
鶴岡　一成,阪,0.597,0.07200000000000001,0.3090909090909091,0.3488372093023256,3.558139534883721,153.0,0.5833333333333334,0.0,3.4847597765363156
江越　大賀,阪,0.637,0.17300000000000001,0.31313131313131315,0.09375,2.625,33.6,0.6893939393939394,2.857142857142857,4.3651363636363625
新井　良太,阪,0.5740000000000001,0.134,0.2358490566037736,0.24390243902439024,3.658536585365854,37.5,0.5806451612903226,0.0,3.149026370370364
藤井　彰人,阪,0.478,0.021999999999999992,0.20175438596491227,1.05,6.7,506.0,0.4260869565217391,0.0,1.7559327731092411
大島　洋平,中,0.655,0.08200000000000002,0.28484848484848485,0.6,8.692307692307692,94.16666666666667,0.6519721577726219,9.428571428571429,4.440429134432935
ルナ,中,0.764,0.10500000000000004,0.328537170263789,0.7402597402597403,6.441558441558442,62.0,0.8379120879120879,9.263157894736842,6.299505865439904
平田　良介,中,0.7989999999999999,0.14699999999999996,0.32142857142857145,0.7441860465116279,5.709302325581396,37.76923076923077,0.8928571428571429,11.916666666666666,6.889410581517873
